ht,un,upn,wn,vn,at,gr,is,eg,ws,tt,ct,tw_pp,wt,tr_pt,ts,fep,tc,tf,te,we,ce,ep
Coastal,Nesarabad,Jolabari,7,Aramkati,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aram khathi,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1000,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Taltali,Boro Bogi,9,Sadagor Para ,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Individuals who are not part of the household and who are paid for this job (hired daily laborer),800,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aram kathi,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1000,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,Fishing at Sea/river,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Taltali,Boro Bogi,9,Sadagar Para,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aramkati ,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Thatch/grass/reeds,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakathi,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Double pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Nesarabad,Jolabari,7,Aram khathi,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Taltali,Boro Bogi,9,Sadagor para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),2000,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Taltali,Boro Bogi,9,Sawdagar para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit offset,"Yes, walls exist and provide privacy",Metal sheet,No roof,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),900,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aramkati ,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Wood,Roof exists but is not adequate to protect from rain,Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),400,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Male,Non-government Service ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Ceramic tiles,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakthi,Rural ,Female,Day labour ,Bengali,Poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aramkati ,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,Roof exists but is not adequate to protect from rain,Smooth earth/mud,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Nesarabad,Jolabari,7,Aram kathi,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),800,Manually with buckets
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Male,Agriculture ,Bengali,Non-poor ,Flush toilet,Septic tank,"Yes, walls exist and provide privacy",Brick masonry,"Yes, roof exists and is adequate to protect from rain",Brick masonry,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Satkhira Sadar,Jhaudanga,4,Gobindakati,Rural ,Female,Day labour ,Bengali,Hard-core poor,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,Roof exists but is not adequate to protect from rain,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,Household members ,,Manually with buckets
Coastal,Taltali,Boro Bogi,9,Sadagar Para,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),1100,Manually with buckets
Coastal,Nesarabad,Jolabari,7,Aramkati ,Rural ,Female,Non-government Service ,Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",,,,
Coastal,Rampal,Bashtoli,8,Bashtoli,Rural ,Male,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,Agriculture ,Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Thatch/grass/reeds,No roof,Concrete/cement,No,"No, faecal smears and/or used anal cleansing materials are visible","Yes, partly functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,Walls exist but do not provide adequate privacy,Metal sheet,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),450,Manually with buckets
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Male,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Septic tank,"Yes, walls exist and provide privacy",Metal sheet,"Yes, roof exists and is adequate to protect from rain",Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,"Small Business (capital less than BDT 250,000) ",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Cloth/sack,No roof,Concrete/cement,No,"Yes, free from visible faecal smears and used anal cleansing materials","Yes, fully functional",,,,
Coastal,Paikgacha,Lota ,8,Hani,Rural ,Female,"Farming (Fish, poultry, cattle etc.)",Bengali,Non-poor ,Pour-flush toilet,Single pit,"Yes, walls exist and provide privacy",Metal sheet,No roof,Smooth earth/mud,Yes,"No, faecal smears and/or used anal cleansing materials are visible","Yes, fully functional",Yes emptied,A service provider (person or firm contracted to empty the toilet),500,Manually with buckets
